Evaluasi Vendor 2026,,,,,,,,,
,,,,,,,,,
No,Event,BULAN,Tgl Event,Vendor,Barang / Jasa,Alamat,NILAI,HURUF,REKOMENDASI
1,INUS CONGRESS 2026, Januari 2026,21-24 Januari 2026,Adhikari Creation,Gimmick,Yogyakarta,86.00,A,Sangat Direkomendasikan
,INUS CONGRESS 2026, Januari 2026,21-24 Januari 2026,Rama Shinta Resto,Resto,Yogyakarta,86.00,A,Sangat Direkomendasikan
,INUS CONGRESS 2026, Januari 2026,21-24 Januari 2026,Riffa Transport,Transport,Yogyakarta,78.00,B,Direkomendasikan
,,,,,,,,,
2,WB HEALTHY FUTURE LAUNCH, Januari 2026,22 Januari 2026,Akasya Catering,F&B,Jakarta,91.00,A,Sangat Direkomendasikan
,WB HEALTHY FUTURE LAUNCH, Januari 2026,22 Januari 2026,Claudia Lengkey,Talent,Jakarta,91.00,A,Sangat Direkomendasikan
,WB HEALTHY FUTURE LAUNCH, Januari 2026,22 Januari 2026,Januar Pribadi,Show Management ,Jakarta,91.00,A,Sangat Direkomendasikan
,WB HEALTHY FUTURE LAUNCH, Januari 2026,22 Januari 2026,Januar Pribadi,Usher,Jakarta,73.00,B,Direkomendasikan
,WB HEALTHY FUTURE LAUNCH, Januari 2026,22 Januari 2026,Lumicos,Documentation,Jakarta,91.00,A,Sangat Direkomendasikan
,WB HEALTHY FUTURE LAUNCH, Januari 2026,22 Januari 2026,Phoenix Multimedia,Multimedia,Yogyakarta,90.00,A,Sangat Direkomendasikan
,WB HEALTHY FUTURE LAUNCH, Januari 2026,22 Januari 2026,Tekno Event Asia,Intepreter,Jakarta,90.00,A,Sangat Direkomendasikan
,,,,,,,,,
3,WB HEALTHY FUTURE LAUNCH, Januari 2026,22 Januari 2026,Akasya Catering,F&B,Jakarta,91.00,A,Sangat Direkomendasikan
,WB HEALTHY FUTURE LAUNCH, Januari 2026,22 Januari 2026,Claudia Lengkey,Talent,Jakarta,90.00,A,Sangat Direkomendasikan
,WB HEALTHY FUTURE LAUNCH, Januari 2026,22 Januari 2026,Januar Pribadi,Show Management ,Jakarta,90.00,A,Sangat Direkomendasikan
,WB HEALTHY FUTURE LAUNCH, Januari 2026,22 Januari 2026,Januar Pribadi,Usher,Jakarta,66.00,C,Perlu Evaluasi
,WB HEALTHY FUTURE LAUNCH, Januari 2026,22 Januari 2026,Lumicos,Documentation,Jakarta,90.00,A,Sangat Direkomendasikan
,WB HEALTHY FUTURE LAUNCH, Januari 2026,22 Januari 2026,Phoenix Multimedia,Multimedia,Yogyakarta,90.00,A,Sangat Direkomendasikan
,WB HEALTHY FUTURE LAUNCH, Januari 2026,22 Januari 2026,Tekno Event Asia,Intepreter,Jakarta,90.00,A,Sangat Direkomendasikan
,,,,,,,,,
4,RAC ROCHE 2026,Februari 2026,26-29 Januari 2026,Firman,Documentation,Bali,86.00,A,Sangat Direkomendasikan
,RAC ROCHE 2026,Februari 2026,26-29 Januari 2026,Kings Pro,Production,Bali,84.00,B,Direkomendasikan
,RAC ROCHE 2026,Februari 2026,26-29 Januari 2026,O2 Show Management,Show Management,Bali,83.00,B,Direkomendasikan
,RAC ROCHE 2026,Februari 2026,26-29 Januari 2026,Roland Tour & Travel,Travel Agent,Bali,86.00,A,Sangat Direkomendasikan
,RAC ROCHE 2026,Februari 2026,26-29 Januari 2026,Molas Bali,Talent & Decoration,Bali,88.00,A,Sangat Direkomendasikan
,,,,,,,,,
5,UOB START OF THE YEAR 2026,Februari 2026,28-29 Januari 2026,Enigma Intertama,Show Management,Jakarta,73.00,B,Direkomendasikan
,UOB START OF THE YEAR 2026,Februari 2026,28-29 Januari 2026,Januar Pribadi,Show Management,Jakarta,73.00,B,Direkomendasikan
,UOB START OF THE YEAR 2026,Februari 2026,28-29 Januari 2026,Lumicos,Documentation,Yogyakarta,73.00,B,Direkomendasikan
,UOB START OF THE YEAR 2026,Februari 2026,28-29 Januari 2026,Phoenix Multimedia,Multimedia,Yogyakarta,74.00,B,Direkomendasikan
,,,,,,,,,
6,UOB BEVERAGE,Februari 2026,30 Januari 2026,Jakarta Liquor,Beverage,Jakarta,91.00,A,Sangat Direkomendasikan
,UOB BEVERAGE,Februari 2026,30 Januari 2026,Beer IOI,Beverage,Jakarta,69.00,C,Perlu Evaluasi
,,,,,,,,,
7,WB SITE VISIT ,Februari 2026,29 Januari 2026,Enigma Intertama,Logistik,Jakarta,89.00,A,Sangat Direkomendasikan
,WB SITE VISIT ,Februari 2026,29 Januari 2026,Tekno Event Asia,Intepreter,Jakarta,91.00,A,Sangat Direkomendasikan
,,,,,,,,,
8,RMH GROUP GATHERING & KICK OFF BUDGET 2026,Februari 2026,1-5 Februari 2026,Ariandra Production,Production,Yogyakarta,84.00,B,Direkomendasikan
,RMH GROUP GATHERING & KICK OFF BUDGET 2026,Februari 2026,1-5 Februari 2026,Bike Camp Adventure,Activity,Yogyakarta,80.00,B,Direkomendasikan
,RMH GROUP GATHERING & KICK OFF BUDGET 2026,Februari 2026,1-5 Februari 2026,Dexter Band,Talent,Yogyakarta,74.00,B,Direkomendasikan
,RMH GROUP GATHERING & KICK OFF BUDGET 2026,Februari 2026,1-5 Februari 2026,Dion Game Master,Activity,Yogyakarta,74.00,B,Direkomendasikan
,RMH GROUP GATHERING & KICK OFF BUDGET 2026,Februari 2026,1-5 Februari 2026,Extravagongso,Talent,Yogyakarta,74.00,B,Direkomendasikan
,RMH GROUP GATHERING & KICK OFF BUDGET 2026,Februari 2026,1-5 Februari 2026,Klapa Production,Show Management,Yogyakarta,82.00,B,Direkomendasikan
,RMH GROUP GATHERING & KICK OFF BUDGET 2026,Februari 2026,1-5 Februari 2026,Kopi Ponti,Resto,Yogyakarta,73.00,B,Direkomendasikan
,RMH GROUP GATHERING & KICK OFF BUDGET 2026,Februari 2026,1-5 Februari 2026,Lumicos,Documentation,Yogyakarta,81.00,B,Direkomendasikan
,RMH GROUP GATHERING & KICK OFF BUDGET 2026,Februari 2026,1-5 Februari 2026,Manohara Resto,Resto,Magelang,78.00,B,Direkomendasikan
,RMH GROUP GATHERING & KICK OFF BUDGET 2026,Februari 2026,1-5 Februari 2026,Paseban Plaosan,Activity,Yogyakarta,76.00,B,Direkomendasikan
,RMH GROUP GATHERING & KICK OFF BUDGET 2026,Februari 2026,1-5 Februari 2026,Pragina Gong,Talent,Yogyakarta,80.00,B,Direkomendasikan
,RMH GROUP GATHERING & KICK OFF BUDGET 2026,Februari 2026,1-5 Februari 2026,Premiere Transport,Transport,Yogyakarta,82.00,B,Direkomendasikan
,RMH GROUP GATHERING & KICK OFF BUDGET 2026,Februari 2026,1-5 Februari 2026,Riffa Transport,Transport,Yogyakarta,82.00,B,Direkomendasikan
,RMH GROUP GATHERING & KICK OFF BUDGET 2026,Februari 2026,1-5 Februari 2026,Rafing Sungai Elo,Activity,Magelang,71.00,B,Direkomendasikan
,RMH GROUP GATHERING & KICK OFF BUDGET 2026,Februari 2026,1-5 Februari 2026,Srawung Resto,Resto,Yogyakarta,91.00,A,Sangat Direkomendasikan
,RMH GROUP GATHERING & KICK OFF BUDGET 2026,Februari 2026,1-5 Februari 2026,TBA Event Support,Usher,Yogyakarta,74.00,B,Direkomendasikan
,RMH GROUP GATHERING & KICK OFF BUDGET 2026,Februari 2026,1-5 Februari 2026,Venerabella Arin,Talent,Yogyakarta,71.00,B,Direkomendasikan
,,,,,,,,,
9,SEMEN MERAH PUTIH DISTRIBUTOR SUMMIT 2026,Februari 2026,3-6 Februari 2026,Adhikari Creation,Gimmick,Yogyakarta,73.00,B,Direkomendasikan
,SEMEN MERAH PUTIH DISTRIBUTOR SUMMIT 2026,Februari 2026,3-6 Februari 2026,Angklung Carehal,Talent,Yogyakarta,73.00,B,Direkomendasikan
,SEMEN MERAH PUTIH DISTRIBUTOR SUMMIT 2026,Februari 2026,3-6 Februari 2026,Blue Production,Multimedia,Yogyakarta,72.00,B,Direkomendasikan
,SEMEN MERAH PUTIH DISTRIBUTOR SUMMIT 2026,Februari 2026,3-6 Februari 2026,Dexter Band,Talent,Yogyakarta,80.00,B,Direkomendasikan
,SEMEN MERAH PUTIH DISTRIBUTOR SUMMIT 2026,Februari 2026,3-6 Februari 2026,Dion Game Master,Talent,Yogyakarta,73.00,B,Direkomendasikan
,SEMEN MERAH PUTIH DISTRIBUTOR SUMMIT 2026,Februari 2026,3-6 Februari 2026,DJ Mevi Putri,Talent,Yogyakarta,73.00,B,Direkomendasikan
,SEMEN MERAH PUTIH DISTRIBUTOR SUMMIT 2026,Februari 2026,3-6 Februari 2026,Klapa Production,Show Management,Yogyakarta,76.00,B,Direkomendasikan
,SEMEN MERAH PUTIH DISTRIBUTOR SUMMIT 2026,Februari 2026,3-6 Februari 2026,Lumicos,Documentation,Yogyakarta,81.00,B,Direkomendasikan
,SEMEN MERAH PUTIH DISTRIBUTOR SUMMIT 2026,Februari 2026,3-6 Februari 2026,Paksi Band,Talent,Yogyakarta,74.00,B,Direkomendasikan
,SEMEN MERAH PUTIH DISTRIBUTOR SUMMIT 2026,Februari 2026,3-6 Februari 2026,Pragina Gong,Talent,Yogyakarta,73.00,B,Direkomendasikan
,SEMEN MERAH PUTIH DISTRIBUTOR SUMMIT 2026,Februari 2026,3-6 Februari 2026,Riffa Transport,Transport,Yogyakarta,73.00,B,Direkomendasikan
,SEMEN MERAH PUTIH DISTRIBUTOR SUMMIT 2026,Februari 2026,3-6 Februari 2026,Srawung Resto,Resto,Yogyakarta,73.00,B,Direkomendasikan
,SEMEN MERAH PUTIH DISTRIBUTOR SUMMIT 2026,Februari 2026,3-6 Februari 2026,Venerabella Arin,Talent,Yogyakarta,73.00,B,Direkomendasikan
,,,,,,,,,
10,FUNTASTRIP CIRCLE JAYA YOGYAKARTA - PANORAMA,Februari 2026,5-6 Februari 2026,Abhayagiri,Venue,Yogyakarta,90.00,A,Sangat Direkomendasikan
,FUNTASTRIP CIRCLE JAYA YOGYAKARTA - PANORAMA,Februari 2026,5-6 Februari 2026,Dexter Band,Talent,Yogyakarta,91.00,A,Sangat Direkomendasikan
,FUNTASTRIP CIRCLE JAYA YOGYAKARTA - PANORAMA,Februari 2026,5-6 Februari 2026,Dododocs,Documentation,Yogyakarta,90.00,A,Sangat Direkomendasikan
