Bulan,Event,Vendor,Kategori,Wilayah
January,"ASSERTIVE COMMUNICATION TRAINING FOR
BKMS OUTING 2026",86 Production,Activity,Bali
February,BKMS OUTING 2026,Abhayagiri,Akomodasi,Bandung
March,EAST ASIA EDUCATION WEEK 2026 BRITISH COUNCIL,Adhikari Creation,Bali Dance,Jakarta
April,FUNTASTRIP CIRCLE JAYA YOGYAKARTA - PANORAMA,Adi Maman/Taichi,Beverage,Jawa Timur
May,ILO SITE VISIT & ERP LAUNCHING 2026,Akasya Catering,Catering,Magelang
June,INUS CONGRESS 2026,Angklung Carehal,Decoration,Medan
July,ISA - WORLD BANK SIDSFORUM,Ariandra Production,Documentation,Salatiga
August,LPS - BUKBER & SILATURAHMI PEGAWAI,Arke Scents,Equipment,Surabaya
September,PETRONAS BUKA BERSAMA STAKEHOLDER,Arlinta Transport,Equipment & Production,Yogyakarta
October,RAC ROCHE 2026,Arya Catering,Event Support,
November,RAPAT BERKALA KEHUMASAN SKK MIGAS & KKKS JABANUSAKANGEAN ENERGY INDONESIA -,Asamulti Productions,F&B,
December,RETAIL TRANSPORT BU EVI,Balkondes Karanganyar,Game Master,
,RMH GROUP GATHERING & KICK OFF BUDGET 2026,Balkondes Ngadiharjo,Gimmick,
,SEMEN MERAH PUTIH DISTRIBUTOR SUMMIT 2026,Balkondes Tuksongo,Intepreter,
,TOWNHALL & KICK-OFF MANAGEMENT MEETING PROTELINDO GROUP 2026,Balkondes Wanurejo,Logistik,
,UOB BEVERAGE,Beer IOI,MC,
,UOB INDONESIA - BOC MEETING,Bellinda Amanda,Manpower,
,UOB START OF THE YEAR 2026,Bigbird,Multimedia,
,WB - WORKSHOP ON BUSINESS LICENSING AND INSPECTIONS MATURITY ASSESSMENT (BLIMS) TECHNICAL MISSION FOR FINAL REPORT PREPARATION,Bike Camp Adventure,Pengharum Ruangan,
,WB EAP BALI,Biro Psikologi Bangun Jiwa,Photobooth,
,WB HEALTHY FUTURE LAUNCH,Bli Gede,Production,
,WB SITE VISIT,Blue Production,Registration,
,WORLD BANK RAPAT KOORDINASI LANJUTAN PERSIAPAN PENYUSUNAN PROGRAM SQTDP DAN GREEN BOOK,CMM,Resto,
,WORLD BANK WORKSHOP PERSIAPAN PENYUSUNAN PROGRAM SQTDP DAN GREEN BOOK,Cha Bakery,Show Management,
,WORLD BANK WORKSHOP SENTUL,Claudia Lengkey,Talent,
,"ASSERTIVE COMMUNICATION TRAINING FORBKMS OUTING 2026",DJ Mevi Putri,Talent & Decoration,
,,Dexter Band,Transfer Handling,
,,Dion Game Master,Transport,
,,Dododocs,Travel Agent,
,,Enigma Intertama,Usher,
,,Extravagongso,Venue,
,,Firman,,
,,Gerbera Photobooth,,
,,Golden Tulip,,
,,Gong Bali,,
,,Gusti Jog Galerry,,
,,Hakafa Transport,,
,,Jakarta Liquor,,
,,Januar Pribadi,,
,,Jogja Dekoration,,
,,Kings Pro,,
,,Klapa Production,,
,,Kopi Ponti,,
,,Kreasi Muda Indonesia,,
,,Lumicos,,
,,Lysit Tech,,
,,MC Arin,,
,,MGM Jeep,,
,,Manohara Resto,,
,,Migunesia,,
,,Miki Salman,,
,,Molas Bali,,
,,Mozza Production,,
,,O2 Show Management,,
,,Om Bob,,
,,PT. Seribu Nusantara Rental,,
,,Paksi Band,,
,,Paseban Plaosan,,
,,Phenom Event,,
,,Phoenix Multimedia,,
,,Pragina Gong,,
,,Premiere Transport,,
,,Prime Star,,
,,Rafing Sungai Elo,,
,,Rama Shinta Resto,,
,,Riffa Transport,,
,,Roland Tour & Travel,,
,,Show D Guntur,,
,,Sonokembang Catering,,
,,Srawung Resto,,
,,TBA Event Support,,
,,Tekno Event Asia,,
,,Tizma Niar,,
,,Tomodachi,,
,,VW Borobudur,,
,,Vaclav,,
,,Venerabella Arin,,
,,Weekend Worker,,
,,Wenny Mustikasari,,
,,Westin Hotel,,
,,Wijil Rachmadhani,,
,,Wira Transport,,
